"","X.1","X","Year","Country","Region","Score","GDP","Life.Expectancy","Freedom","Corruption","Rank"
"56",56,56,2020,"Honduras","Latin America and Caribbean",5.953199863,8.424534798,67.19876862,0.870603263,0.801131904,56
"57",57,57,2020,"Latvia","Central and Eastern Europe",5.949999809,10.17531967,66.8074646,0.671237648,0.795580089,57
"58",58,58,2020,"Ecuador","Latin America and Caribbean",5.925199986,9.246058464,68.50003815,0.859828949,0.801215112,58
"59",59,59,2020,"Portugal","Western Europe",5.910900116,10.26374245,72.40202332,0.888747811,0.892629504,59
"60",60,60,2020,"Jamaica","Latin America and Caribbean",5.889800072,9.006250381,67.09999847,0.858068526,0.888890028,60
"61",61,61,2020,"South Korea","East Asia",5.872399807,10.51056671,73.6027298,0.612965107,0.789067447,61
"62",62,62,2020,"Japan","East Asia",5.870800018,10.57968903,75.00096893,0.809961379,0.654558063,62
"63",63,63,2020,"Peru","Latin America and Caribbean",5.796800137,9.456313133,68.10023499,0.824766099,0.893714964,63
"64",64,64,2020,"Serbia","Central and Eastern Europe",5.77820015,9.680980682,68.21020508,0.726495862,0.843509018,64
"65",65,65,2020,"Bolivia","Latin America and Caribbean",5.747499943,8.851115227,63.6004715,0.875873327,0.822606206,65
"66",66,66,2020,"Pakistan","South Asia",5.69329977,8.482727051,58.25313568,0.734833717,0.745705426,66
"67",67,67,2020,"Paraguay","Latin America and Caribbean",5.692100048,9.389982224,65.63993835,0.885923445,0.834788501,67
"68",68,68,2020,"Dominican Republic","Latin America and Caribbean",5.689199924,9.664880753,65.80748749,0.866202772,0.755999923,68
"69",69,69,2020,"Bosnia and Herzegovina","Central and Eastern Europe",5.674099922,9.455817223,67.80813599,0.651352704,0.933769107,69
"70",70,70,2020,"Moldova","Commonwealth of Independent States",5.607500076,8.776714325,65.01301575,0.721609175,0.913314283,70
"71",71,71,2020,"Tajikistan","Commonwealth of Independent States",5.555699825,8.024810791,64.10459137,0.831383407,0.592076063,71
"72",72,72,2020,"Montenegro","Central and Eastern Europe",5.54610014,9.751860619,68.50534821,0.649565637,0.783121586,72
"73",73,73,2020,"Russia","Commonwealth of Independent States",5.546000004,10.12887192,64.10045624,0.729892612,0.864802599,73
"74",74,74,2020,"Kyrgyzstan","Commonwealth of Independent States",5.541500092,8.148405075,64.10601044,0.909374893,0.888396084,74
"75",75,75,2020,"Belarus","Commonwealth of Independent States",5.539899826,9.779945374,66.10433197,0.639163077,0.63571167,75
"76",76,76,2020,"North Cyprus","Western Europe",5.53550005,10.40570259,73.70222473,0.79529351,0.62611568,76
"77",77,77,2020,"Greece","Western Europe",5.514999866,10.13232613,72.40525818,0.541345119,0.859931409,77
"78",78,78,2020,"Hong Kong S.A.R. of China","East Asia",5.510399818,10.9346714,76.77170563,0.779833794,0.420607209,78
"79",79,79,2020,"Croatia","Central and Eastern Europe",5.504700184,10.07087517,70.21490479,0.714838803,0.916495264,79
"80",80,80,2020,"Libya","Middle East and North Africa",5.488800049,9.789815903,62.29999924,0.773157001,0.668779135,80
"81",81,81,2020,"Mongolia","East Asia",5.456200123,9.412186623,62.30448532,0.693351328,0.863511205,81
"82",82,82,2020,"Malaysia","Southeast Asia",5.384300232,10.26251888,67.10215759,0.894626856,0.839302301,82
"83",83,83,2020,"Vietnam","Southeast Asia",5.353499889,8.809545517,67.9527359,0.939592957,0.79642123,83
"84",84,84,2020,"Indonesia","Southeast Asia",5.285600185,9.36975193,62.15584946,0.870614409,0.876296401,84
"85",85,85,2020,"Ivory Coast","Sub-Saharan Africa",5.233300209,8.225561142,49.50377274,0.727909327,0.790771961,85
"86",86,86,2020,"Benin","Sub-Saharan Africa",5.21600008,7.674319744,54.31246567,0.735182583,0.740532577,86
"87",87,87,2020,"Maldives","South Asia",5.197599888,9.518632889,70.59999847,0.853962779,0.824211061,87
"88",88,88,2020,"Congo (Brazzaville)","Sub-Saharan Africa",5.194399834,8.536987305,57.92448044,0.719058514,0.751779079,88
"89",89,89,2020,"Azerbaijan","Commonwealth of Independent States",5.164800167,9.687726974,65.50839996,0.786824107,0.55253756,89
"90",90,90,2020,"Macedonia","Central and Eastern Europe",5.159800053,9.510591507,67.50442505,0.738840938,0.897490501,90
"91",91,91,2020,"Ghana","Sub-Saharan Africa",5.147999763,8.350645065,57.20398712,0.794796526,0.847964764,91
"92",92,92,2020,"Nepal","South Asia",5.137199879,7.925357342,63.77917862,0.797565043,0.738099158,92
"93",93,93,2020,"Turkey","Middle East and North Africa",5.131800175,10.12941933,66.90281677,0.608830452,0.748197377,93
"94",94,94,2020,"China","East Asia",5.123899937,9.688568115,69.2891922,0.898517907,0.7539711,94
"95",95,95,2020,"Turkmenistan","Commonwealth of Independent States",5.119100094,9.74803257,62.21170807,0.826457024,0.883691847,95
"96",96,96,2020,"Bulgaria","Central and Eastern Europe",5.101500034,9.869318962,66.80397797,0.745178163,0.935585141,96
"97",97,97,2020,"Morocco","Middle East and North Africa",5.094799995,8.940313339,65.89624023,0.772072434,0.815724611,97
"98",98,98,2020,"Cameroon","Sub-Saharan Africa",5.084899902,8.118647575,52.7049408,0.763051808,0.851336598,98
"99",99,99,2020,"Venezuela","Latin America and Caribbean",5.053199768,8.977793694,66.50534058,0.62327832,0.837038398,99
"100",100,100,2020,"Algeria","Middle East and North Africa",5.005099773,9.537964821,65.90517426,0.466610909,0.735485137,100
"101",101,101,2020,"Senegal","Sub-Saharan Africa",4.980800152,8.118982315,59.59915161,0.690596163,0.808785141,101
"102",102,102,2020,"Guinea","Sub-Saharan Africa",4.949299812,7.750990391,54.46780014,0.706846774,0.761794448,102
"103",103,103,2020,"Niger","Sub-Saharan Africa",4.909599781,6.842166901,53.50009537,0.759772122,0.722530186,103
"104",104,104,2020,"Laos","Southeast Asia",4.888599873,8.79858017,58.70992279,0.907213569,0.634679317,104
"105",105,105,2020,"Albania","Central and Eastern Europe",4.882699966,9.417930603,68.70813751,0.781994224,0.896303713,105
"106",106,106,2020,"Cambodia","Southeast Asia",4.848400116,8.249890327,61.52996826,0.959704638,0.822769046,106
"107",107,107,2020,"Bangladesh","South Asia",4.832799911,8.287063599,64.50306702,0.90062499,0.661843538,107
"108",108,108,2020,"Gabon","Sub-Saharan Africa",4.829299927,9.680537224,59.71533966,0.704829216,0.849150956,108
"109",109,109,2020,"South Africa","Sub-Saharan Africa",4.814099789,9.403370857,56.50601196,0.759330094,0.843423843,109
"110",110,110,2020,"Iraq","Middle East and North Africa",4.784800053,9.661095619,59.90354919,0.633182645,0.82226181,110
"111",111,111,2020,"Lebanon","Middle East and North Africa",4.771500111,9.3617239,67.10658264,0.551357508,0.90225625,111
"112",112,112,2020,"Burkina Faso","Sub-Saharan Africa",4.768700123,7.46854496,53.88945389,0.665563583,0.739795029,112
"113",113,113,2020,"Gambia","Sub-Saharan Africa",4.750599861,7.321814537,55.0120163,0.733163178,0.690717816,113
"114",114,114,2020,"Mali","Sub-Saharan Africa",4.729300022,7.629852295,51.72698212,0.71156615,0.839328408,114
"115",115,115,2020,"Nigeria","Sub-Saharan Africa",4.724100113,8.57662487,49.86190796,0.759578407,0.861874342,115
"116",116,116,2020,"Armenia","Commonwealth of Independent States",4.676799774,9.100476265,66.75065613,0.712017834,0.773544788,116
"117",117,117,2020,"Georgia","Commonwealth of Independent States",4.672599792,9.226100922,64.49520874,0.801641524,0.665944695,117
"118",118,118,2020,"Iran","Middle East and North Africa",4.672399998,9.813719749,66.00614929,0.647873282,0.714635968,118
